ImageName,ImageID,Year,coder1-encodings,coder2-encodings,coder1-hardness,coder2-hardness
SciVisJ.1290.19.png,I7659Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
SciVisJ.1301.6.png,I7668Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
VASTJ.1332.3.png,I7689Y2020,2020,Point,Bar,Easy,Easy
VASTJ.1332.5.png,I7690Y2020,2020,Point,Bar,Easy,Neutral
VASTJ.1332.7.png,I7693Y2020,2020,Text,Text,Easy,Neutral
VASTJ.1332.6.png,I7692Y2020,2020,Point,Bar,Easy,Easy
VASTJ.1343.5.png,I7699Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1353.6.png,I7706Y2020,2020,Line,Line,Neutral,Easy
InfoVisJ.1353.4.png,I7707Y2020,2020,Bar,Bar,Neutral,Neutral
InfoVisJ.1353.1.png,I7702Y2020,2020,Node-link,Node-link,Neutral,Easy
InfoVisJ.1353.7.png,I7708Y2020,2020,Line,Line,Neutral,Easy
InfoVisJ.1353.5.png,I7705Y2020,2020,Node-link,Line,Easy,Easy
VASTJ.1374.6.png,I7732Y2020,2020,Bar,Grid,Hard,Easy
VASTJ.1374.4.png,I7730Y2020,2020,Bar,Bar,Easy,Easy
VASTJ.1374.13.png,I7738Y2020,2020,Point,Point,Easy,Easy
VASTJ.1396.3.png,I7747Y2020,2020,Bar,Bar,Easy,Easy
VASTJ.1396.12.png,I7755Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
VASTJ.1407.9.png,I7765Y2020,2020,Node-link,Node-link,Hard,Easy
VASTJ.1396.10.png,I7754Y2020,2020,Bar,Bar,Easy,Easy
VASTJ.1427.6.png,I7781Y2020,2020,Bar,Bar,Neutral,Easy
VASTJ.1427.8.png,I7782Y2020,2020,Bar,Bar,Neutral,Easy
VASTJ.1427.7.png,I7783Y2020,2020,Bar,Bar,Easy,Neutral
VASTJ.1448.5.png,I7795Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1470.11.png,I7814Y2020,2020,Bar,Bar,Neutral,Easy
InfoVisJ.1503.1.png,I7835Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1514.4.png,I7841Y2020,2020,Bar,Bar,Neutral,Easy
InfoVisJ.1514.6.png,I7842Y2020,2020,Grid,Grid,Easy,Easy
InfoVisJ.1514.12.png,I7849Y2020,2020,Area,Area,Easy,Hard
InfoVisJ.1525.2.png,I7853Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1525.4.png,I7854Y2020,2020,Bar,Bar,Neutral,Neutral
VASTJ.1536.12.png,I7864Y2020,2020,Line,Line,Neutral,Easy
VASTJ.1536.10.png,I7863Y2020,2020,Line,Line,Hard,Easy
VASTJ.1536.14.png,I7870Y2020,2020,Line,Node-link,Easy,Easy
VASTJ.1536.15.png,I7869Y2020,2020,Line,Line,Neutral,Easy
VASTJ.1536.16.png,I7873Y2020,2020,Line,Grid,Neutral,Hard
VASTJ.1536.5.png,I7862Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1558.5.png,I7888Y2020,2020,Point,Glyph,Neutral,Easy
InfoVisJ.1558.9.png,I7893Y2020,2020,Glyph,Glyph,Easy,Easy
InfoVisJ.1558.12.png,I7895Y2020,2020,Point,Point,Neutral,Neutral
InfoVisJ.1569.2.png,I7898Y2020,2020,Point,Point,Neutral,Easy
InfoVisJ.1558.11.png,I7894Y2020,2020,Glyph,Point,Neutral,Easy
InfoVisJ.1569.5.png,I7901Y2020,2020,Point,Point,Neutral,Neutral
InfoVisJ.1558.13.png,I7896Y2020,2020,Area,Glyph,Hard,Hard
InfoVisJ.1569.1.png,I7897Y2020,2020,Point,Point,Easy,Easy
InfoVisJ.1569.3.png,I7899Y2020,2020,Point,Point,Neutral,Easy
InfoVisJ.1569.8.png,I7904Y2020,2020,Point,Point,Easy,Easy
InfoVisJ.1569.7.png,I7903Y2020,2020,Point,Point,Neutral,Neutral
InfoVisJ.1569.9.png,I7906Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1569.12.png,I7907Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1580.7.png,I7915Y2020,2020,Point,Point,Easy,Hard
SciVisJ.1580.11.png,I7917Y2020,2020,Grid,Point,Neutral,Easy
SciVisJ.1580.12.png,I7920Y2020,2020,Point,Surface/Volume,Easy,Easy
SciVisJ.1591.12.png,I7933Y2020,2020,Line,Line,Easy,Easy
VASTJ.1601.12.png,I7948Y2020,2020,Point,Point,Easy,Easy
VASTJ.1612.9.png,I7958Y2020,2020,Bar,Bar,Neutral,Easy
VASTJ.1612.11.png,I7959Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1634.9.png,I7977Y2020,2020,Area,Area,Easy,Easy
InfoVisJ.1634.5.png,I7972Y2020,2020,Area,Area,Easy,Easy
InfoVisJ.1634.1.png,I7969Y2020,2020,Area,Area,Easy,Easy
InfoVisJ.1634.11.png,I7978Y2020,2020,Bar,Bar,Neutral,Easy
InfoVisJ.1634.6.png,I7974Y2020,2020,Area,Area,Neutral,Neutral
InfoVisJ.1634.8.png,I7976Y2020,2020,Area,Area,Easy,Easy
InfoVisJ.1634.13.png,I7981Y2020,2020,Area,Area,Easy,Easy
InfoVisJ.1644.2.png,I7983Y2020,2020,Grid,Grid,Neutral,Easy
InfoVisJ.1655.4.png,I7992Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1655.8.png,I7996Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1655.13.png,I8001Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1666.4.png,I8005Y2020,2020,Node-link,Node-link,Easy,Neutral
InfoVisJ.1666.6.png,I8006Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1666.7.png,I8008Y2020,2020,Point,Point,Easy,Easy
InfoVisJ.1677.9.png,I8018Y2020,2020,Grid,Area,Easy,Easy
InfoVisJ.1677.6.png,I8013Y2020,2020,Grid,Bar,Neutral,Easy
InfoVisJ.1677.5.png,I8014Y2020,2020,Bar,Bar,Neutral,Neutral
InfoVisJ.1677.10.png,I8019Y2020,2020,Node-link,Node-link,Easy,Easy
VASTJ.1698.1.png,I8031Y2020,2020,Node-link,Node-link,Easy,Easy
VASTJ.1698.5.png,I8035Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1709.4.png,I8040Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1709.5.png,I8039Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1709.9.png,I8043Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1709.6.png,I8042Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1709.8.png,I8044Y2020,2020,Bar,Bar,Easy,Easy
VASTJ.1720.2.png,I8046Y2020,2020,Point,Point,Easy,Easy
VASTJ.1720.7.png,I8052Y2020,2020,Node-link,Node-link,Easy,Easy
VASTJ.1720.14.png,I8058Y2020,2020,Bar,Bar,Easy,Easy
VASTJ.1731.4.png,I8062Y2020,2020,Point,Point,Neutral,Easy
VASTJ.1742.1.png,I8064Y2020,2020,Bar,Line,Easy,Easy
VASTJ.1731.5.png,I8063Y2020,2020,Bar,Bar,Neutral,Easy
VASTJ.1742.7.png,I8069Y2020,2020,Point,Grid,Neutral,Hard
VASTJ.1753.4.png,I8077Y2020,2020,Text,Text,Neutral,Neutral
VASTJ.1753.6.png,I8080Y2020,2020,Line,Line,Neutral,Easy
VASTJ.1764.2.png,I8086Y2020,2020,Grid,Grid,Easy,Easy
VASTJ.1775.5.png,I8095Y2020,2020,Node-link,Node-link,Easy,Easy
InfoVisJ.1786.4.png,I8105Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1786.6.png,I8107Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1786.3.png,I8104Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1797.5.png,I8112Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
SciVisJ.1797.8.png,I8114Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
SciVisJ.1797.9.png,I8116Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1797.11.png,I8117Y2020,2020,Surface/Volume,Surface/Volume,Hard,Neutral
SciVisJ.1808.3.png,I8121Y2020,2020,Line,Line,Neutral,Easy
SciVisJ.1808.4.png,I8122Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1808.9.png,I8127Y2020,2020,Area,Grid,Neutral,Neutral
SciVisJ.1808.8.png,I8125Y2020,2020,Bar,Bar,Easy,Easy
SciVisJ.1819.5.png,I8135Y2020,2020,Line,Line,Easy,Neutral
SciVisJ.1819.4.png,I8136Y2020,2020,Grid,Pattern,Neutral,Easy
InfoVisJ.1829.3.png,I8141Y2020,2020,Point,Point,Easy,Easy
InfoVisJ.1829.5.png,I8144Y2020,2020,Bar,Bar,Easy,Neutral
InfoVisJ.1829.9.png,I8149Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1829.11.png,I8151Y2020,2020,Line,Line,Easy,Easy
VASTC.1.5.png,I8159Y2020,2020,Line,Line,Easy,Easy
VASTC.1.11.png,I8163Y2020,2020,Line,Line,Easy,Neutral
VASTC.1.8.png,I8160Y2020,2020,Grid,Grid,Easy,Easy
